id,name,rating,download,tags
com.dts.freefireth,Free Fire x JUJUTSU KAISEN,4.5star,1B+,"Action,Shooter,Tactical shooter,Multiplayer,Competitive multiplayer,Stylized,Battling,Weapons,Gun"
com.dts.freefiremax,Free Fire MAX x JUJUTSU KAISEN,4.3star,500M+,"Action,Shooter,Tactical shooter,Multiplayer,Competitive multiplayer,Stylized,Weapons,Gun,Ninja"
com.blackpanther.ninjaarashi2,Ninja Arashi 2,4.3star,10M+,"Action,Platformer,Hack & slash,Casual,Single player,Stylized,Ninja,Fantasy,Dark fantasy,Offline"
com.tohsoft.arashi.ninja.shadow,Ninja warrior: legend of adven,4.3star,100M+,"Action,Platformer,Hack & slash,Casual,Single player,Stylized,Ninja,Offline"
com.nekki.shadowfightarena,Shadow Fight 4: Arena,4.7star,50M+,"Action,Fighting,Casual,Multiplayer,Competitive multiplayer,Single player,Stylized,Stylized-realistic,Martial arts,Ninja"
com.nekki.shadowfight,Shadow Fight 2,4.5star,100M+,"Action,Fighting,Single player,Stylized,Fantasy,Eastern fantasy,Wuxia,Battling,Offline"
com.nekki.shadowfight3,Shadow Fight 3 - RPG fighting,4.5star,100M+,"Action,Fighting,Single player,Stylized,Stylized-realistic,Fantasy,Eastern fantasy,Competitive,Offline"
com.nekki.shadowfight3,Shadow Fight 3 - RPG fighting,4.5star,100M+,"Action,Fighting,Single player,Stylized,Stylized-realistic,Fantasy,Eastern fantasy,Competitive,Offline"
com.snk.samuraishodown,SAMURAI SHODOWN R,4.2star,100K+,"Role Playing,MMORPG,Multiplayer,Competitive multiplayer,Stylized,Anime,Immersive,Fantasy,Eastern fantasy"
com.nekki.shadowfightarena,Shadow Fight 4: Arena,4.7star,50M+,"Action,Fighting,Casual,Multiplayer,Competitive multiplayer,Single player,Stylized,Stylized-realistic,Martial arts,Ninja"
com.nekki.shadowfight,Shadow Fight 2,4.5star,100M+,"Action,Fighting,Single player,Stylized,Fantasy,Eastern fantasy,Wuxia,Battling,Offline"
com.darkcurry.darksteel,Fight Legends: Mortal Fighting,4.0star,1M+,"Action,Fighting,Single player,Stylized,Stylized-realistic,Competitive,Fantasy,Medieval fantasy"
com.dreamotion.ronin,Ronin: The Last Samurai,4.5star,10M+,"Role Playing,Roguelike,Single player,Stylized,Fantasy,Eastern fantasy,Intense"
com.Zonmob.ShadowofDeath.FightingGames,Shadow of Death: Offline Games,4.2star,10M+,"Role Playing,Action Role-Playing,Single player,Stylized,Battling,Stickman,Offline"
com.tibith.badboxing,Bloody Bastards,4.6star,10M+,"Action,Fighting,Casual,Multiplayer,Competitive multiplayer,Single player,Stylized,Pixelated,Ragdoll,Competitive"
com.DreamonStudios.BladesofDeceron,Blades of Deceron,3.9star,1M+,"Action,Fighting,Single player,Stylized,Pixelated,Fantasy,Medieval fantasy,Offline"
com.autumn.skullgirls,Skullgirls: Fighting RPG,4.1star,10M+,"Role Playing,Action Role-Playing,Multiplayer,Competitive multiplayer,Single player,Stylized,Anime,Battling,Immersive"
com.fansipan.stickman.shadow.knights.fightinggames,Shadow Knight: Ninja Fighting,4.0star,10M+,"Role Playing,Action Role-Playing,Arcade,Single player,Stylized,Battling,Monster"
com.DreamonStudios.Gladihoppers,Gladihoppers - Gladiator Fight,4.0star,10M+,"Action,Fighting,Casual,Multiplayer,Competitive multiplayer,Stylized,Pixelated,History,Competitive,Offline"
com.kimongames.mastersofarena,Gladiator Arena: Sword & Glory,3.4star,10K+,Action
com.IfelseMedia.SwordAndGlory,Sword & Glory,4.7star,500K+,"Role Playing,Casual,Single player,Stylized,Offline"
com.Notriplea.SlashOfSwordRebelliousJousting,Slash of Sword 2 - Offline RPG,4.1star,500K+,"Role Playing,Action Role-Playing,Single player,Stylized,Immersive,Fantasy,Offline"
com.tapenjoy.actx.os1,Final Fighter: Fighting Game,4.5star,1M+,"Action,Fighting,Multiplayer,Competitive multiplayer,Single player,Stylized,Battling,Smash & beat"
com.fansipan.stickman.fight.shadow.knights,Shadow Knight: Ninja Game War,4.4star,10M+,"Role Playing,Action Role-Playing,Single player,Stylized,Ninja,Battling"
com.passiongamesstudio.mergehunter,Craft Sword 3D: Monster Hunt,4.8star,1M+,"Puzzle,Merge,Single player,Stylized,Offline"
com.superplanet.swordmaster,Sword Master Story,4.4star,5M+,"Role Playing,Action-strategy,Multiplayer,Competitive multiplayer,Single player,Stylized,Anime,Battling,Fantasy,Mythology,Western myths"
com.lunosoft.swordsman,3D Anime RPG: Sword Mage,2.7star,10K+,"Role Playing,Idle RPG,Multiplayer,Competitive multiplayer,Single player,Stylized,Anime,Fantasy,Eastern fantasy,Isekai,Immersive"
com.olivecrow.greatsword,Great Sword - Action RPG,3.9star,500K+,"Action,Platformer,Hack & slash,Casual,Single player,Stylized,Pixelated"
com.ooxlimited.idlearcadehunter,Sword Island: Samurai,3.2star,10K+,Arcade
com.mortal.battle.legend.fighter,Legend Fighter: Mortal Battle,4.8star,10M+,"Action,Fighting,Single player,Stylized,Competitive,Offline"
com.nekki.shadowfight.shades,Shades: Shadow Fight Roguelike,4.7star,10M+,"Action,Fighting,Casual,Single player,Stylized,Monster,Immersive,Offline"
com.nanoo.darksword,Dark Sword,4.2star,5M+,"Role Playing,Action Role-Playing,Casual,Multiplayer,Competitive multiplayer,Single player,Stylized,Offline"
com.snailgameusa.swordofshadow,Sword of Shadows,3.3star,1M+,"Role Playing,MMORPG,Multiplayer,Competitive multiplayer,Single player,Stylized,Battling,Martial arts"
com.boombitgames.TinyGladiators,Tiny Gladiators - Fighting Tou,4.8star,5M+,"Action,Fighting,Casual,Multiplayer,Competitive multiplayer,Single player,Stylized,Competitive,Fantasy,Medieval fantasy,Offline"
com.netease.yysls,Where Winds Meet,4.5star,1M+,"Role Playing,Action Role-Playing,Stylized,Fantasy,Eastern fantasy,Wuxia,Immersive"
com.eapublishing.dhsw.free,Shadow Hunter: Offline Games,4.7star,5M+,"Role Playing,Action Role-Playing,Casual,Multiplayer,Competitive multiplayer,Single player,Stylized,Monster,Fantasy,Dark fantasy,Offline"
com.kkgames.idleswordmaster,Idle Sword Master,4.4star,500K+,"Role Playing,Idle RPG,Single player,Stylized,Pixelated,Immersive,Offline"
com.Nobodyshot.kuboom,KUBOOM 3D: FPS Shooting Games,4.3star,50M+,"Action,Shooter,Tactical shooter,Multiplayer,Competitive multiplayer,Stylized,Weapons,Gun,Battling"
com.activision.callofduty.shooter,Call of Duty®: Mobile,3.8star,100M+,"Action,Shooter,Tactical shooter,Multiplayer,Competitive multiplayer,Realistic,Modern,Military,Competitive"
com.ta.strike.ops,FPS Strike Ops : Modern Arena,4.5star,100M+,"#5 top free adventure,Action,Shooter,Tactical shooter,Multiplayer,Competitive multiplayer,Single player,Stylized,Weapons,Gun,Offline"
com.dts.freefireth,Free Fire x JUJUTSU KAISEN,4.5star,1B+,"Action,Shooter,Tactical shooter,Multiplayer,Competitive multiplayer,Stylized,Battling,Weapons,Gun"
com.tencent.ig,PUBG MOBILE,4.4star,1B+,"#6 top free action,Action,Shooter,Tactical shooter,Multiplayer,Competitive multiplayer,Realistic,Intense"
com.gamedevltd.modernstrike,Modern Strike Online: PvP FPS,4.5star,100M+,"Action,Shooter,Tactical shooter,Multiplayer,Competitive multiplayer,Stylized,Weapons,Gun,Battling"
com.dts.freefiremax,Free Fire MAX x JUJUTSU KAISEN,4.3star,500M+,"Action,Shooter,Tactical shooter,Multiplayer,Competitive multiplayer,Stylized,Weapons,Gun,Ninja"
com.netease.g108na,Destiny: Rising,3.2star,1M+,"Action,Shooter,Tactical shooter,Multiplayer,Competitive multiplayer,Single player,Stylized,Science fiction"
com.critical.strike2,Critical Strike CS: Online FPS,4.6star,100M+,"Action,Shooter,Tactical shooter,Multiplayer,Competitive multiplayer,Stylized,Weapons,Gun,Battling"
com.axlebolt.standoff2,Standoff 2,4.4star,100M+,"#3 top free action,Action,Shooter,Tactical shooter,Multiplayer,Competitive multiplayer,Single player,Stylized,Weapons,Gun,Battling"
com.epicgames.fortnite,Fortnite,4.2star,10M+,"#5 top free action,Action,Shooter,Tactical shooter,Stylized,Intense"
com.netease.newspike,Blood Strike - FPS for all,4.1star,100M+,"Action,Shooter,Tactical shooter,Casual,Multiplayer,Competitive multiplayer,Stylized,Weapons,Gun,Business & profession,Business empire"
com.edkongames.ww2,World War 2－FPS Shooting Games,4.4star,50M+,"Action,Shooter,Tactical shooter,Multiplayer,Competitive multiplayer,Realistic,Weapons,Gun,Battling"
com.wildlife.games.battle.royale.free.zooba,Zooba: Fun Battle Royale Games,4.2star,100M+,"Action,Shooter,Hero shooter,Casual,Multiplayer,Competitive multiplayer,Single player,Stylized,Cartoon,Competitive,Funny"
com.edkongames.mobs,Modern Ops - Стрелялки Шутеры,4.7star,100M+,"Action,Shooter,Tactical shooter,Multiplayer,Competitive multiplayer,Stylized,Weapons,Gun,Battling"
com.fungames.sniper3d,Sniper 3D：Gun Shooting Games,4.6star,500M+,"Action,Shooter,Sniper,Casual,Single player,Stylized,Weapons,Gun,Assassin,Offline"
com.herogames.gplay.crisisactionsa,Crisis Action: 7th Anniversary,2.7star,10M+,"Action,Shooter,Tactical shooter,Multiplayer,Competitive multiplayer,Single player,Stylized,Science fiction,Cyberpunk,Intense"
com.madfingergames.legends,Shadowgun Legends: Online FPS,4.3star,10M+,"Action,Shooter,Tactical shooter,Single player,Multiplayer,Stylized,Stylized-realistic,Intense,Science fiction,Space"
com.gamedevltd.wwh,World War Heroes — WW2 5v5 FPS,4.4star,100M+,"Action,Shooter,Tactical shooter,Multiplayer,Competitive multiplayer,Stylized,Battling,Weapons,Gun"
com.fungames.battletanksbeta,War Machines：Tanks Battle Game,4.4star,100M+,"Action,Shooter,Vehicle combat,Multiplayer,Competitive multiplayer,Realistic,Modern,Military,Army,Competitive"
com.criticalforceentertainment.criticalops,Critical Ops: Multiplayer FPS,4.2star,100M+,"Action,Shooter,Tactical shooter,Multiplayer,Competitive multiplayer,Single player,Realistic,Modern,Military,Special forces,Competitive"
com.game.space.shooter2,Space shooter - Galaxy attack,4.8star,100M+,"Action,Shooter,Bulletstorm,Casual,Single player,Stylized,Battling,Fantasy,Sci-fi fantasy,Offline"
com.miniclip.drone1,War Drone: 3D Shooting Games,4.7star,10M+,"Action,Shooter,Single player,Stylized,Modern,Military,Aerial,Intense"
com.os.airforce,1945 Air Force: Plane Shooter,4.8star,100M+,"Action,Shooter,Bulletstorm,Casual,Multiplayer,Competitive multiplayer,Single player,Stylized,Pixelated,Battling,Modern,Military,Aerial,Offline"
com.pixonic.wwr,War Robots Multiplayer Battles,4.5star,100M+,"Action,Shooter,Vehicle combat,Multiplayer,Competitive multiplayer,Stylized,Robot,Battling"
com.aldagames.zombieshooter,The Walking Zombie 2: Shooter,4.3star,50M+,"Action,Shooter,Bulletstorm,Casual,Single player,Stylized,Low poly,Weapons,Gun,Zombie,Offline"
com.miniclip.realsniper,Pure Sniper: Gun Shooter Games,4.9star,100M+,"Action,Shooter,Sniper,Single player,Realistic,Modern,Military,Special forces,Intense,Offline"
com.madfingergames.deadtrigger2,Dead Trigger 2 FPS Zombie Game,4.4star,100M+,"Action,Shooter,Bulletstorm,Casual,Single player,Stylized,Zombie,Weapons,Gun"
com.gamedevltd.modernstrike,Modern Strike Online: PvP FPS,4.5star,100M+,"Action,Shooter,Tactical shooter,Multiplayer,Competitive multiplayer,Stylized,Weapons,Gun,Battling"
com.madfingergames.deadtrigger2,Dead Trigger 2 FPS Zombie Game,4.4star,100M+,"Action,Shooter,Bulletstorm,Casual,Single player,Stylized,Zombie,Weapons,Gun"
com.axlebolt.standoff2,Standoff 2,4.4star,100M+,"#3 top free action,Action,Shooter,Tactical shooter,Multiplayer,Competitive multiplayer,Single player,Stylized,Weapons,Gun,Battling"
com.madfingergames.legends,Shadowgun Legends: Online FPS,4.3star,10M+,"Action,Shooter,Tactical shooter,Single player,Multiplayer,Stylized,Stylized-realistic,Intense,Science fiction,Space"
com.criticalforceentertainment.criticalops,Critical Ops: Multiplayer FPS,4.2star,100M+,"Action,Shooter,Tactical shooter,Multiplayer,Competitive multiplayer,Single player,Realistic,Modern,Military,Special forces,Competitive"
com.critical.strike2,Critical Strike CS: Online FPS,4.6star,100M+,"Action,Shooter,Tactical shooter,Multiplayer,Competitive multiplayer,Stylized,Weapons,Gun,Battling"
com.gamedevltd.wwh,World War Heroes — WW2 5v5 FPS,4.4star,100M+,"Action,Shooter,Tactical shooter,Multiplayer,Competitive multiplayer,Stylized,Battling,Weapons,Gun"
com.epicgames.fortnite,Fortnite,4.2star,10M+,"#5 top free action,Action,Shooter,Tactical shooter,Stylized,Intense"
com.netease.g108na,Destiny: Rising,3.2star,1M+,"Action,Shooter,Tactical shooter,Multiplayer,Competitive multiplayer,Single player,Stylized,Science fiction"
com.Nobodyshot.kuboom,KUBOOM 3D: FPS Shooting Games,4.3star,50M+,"Action,Shooter,Tactical shooter,Multiplayer,Competitive multiplayer,Stylized,Weapons,Gun,Battling"
com.netease.newspike,Blood Strike - FPS for all,4.1star,100M+,"Action,Shooter,Tactical shooter,Casual,Multiplayer,Competitive multiplayer,Stylized,Weapons,Gun,Business & profession,Business empire"
com.madfingergames.unkilled,UNKILLED - FPS Zombie Games,4.3star,10M+,"Action,Shooter,Multiplayer,Competitive multiplayer,Single player,Stylized,Stylized-realistic,Science fiction,Apocalyptic,Intense"
com.gamedevltd.destinywarfare,Infinity Ops: Cyberpunk FPS,4.4star,10M+,"Action,Shooter,Tactical shooter,Multiplayer,Competitive multiplayer,Stylized,Weapons,Gun,Battling"
com.aldagames.zombieshooter,The Walking Zombie 2: Shooter,4.3star,50M+,"Action,Shooter,Bulletstorm,Casual,Single player,Stylized,Low poly,Weapons,Gun,Zombie,Offline"
com.ta.strike.ops,FPS Strike Ops : Modern Arena,4.5star,100M+,"#5 top free adventure,Action,Shooter,Tactical shooter,Multiplayer,Competitive multiplayer,Single player,Stylized,Weapons,Gun,Offline"
com.madfingergames.deadtrigger,Dead Trigger: Survival Shooter,4.3star,50M+,"Action,Shooter,Bulletstorm,Casual,Single player,Stylized,Weapons,Gun,Zombie,Offline"
com.activision.callofduty.shooter,Call of Duty®: Mobile,3.8star,100M+,"Action,Shooter,Tactical shooter,Multiplayer,Competitive multiplayer,Realistic,Modern,Military,Competitive"
com.pikpok.dr2.play,Into the Dead 2,4.5star,10M+,"Action,Shooter,Bulletstorm,Casual,Single player,Stylized,Battling,Weapons,Gun,Offline"
com.fungames.sniper3d,Sniper 3D：Gun Shooting Games,4.6star,500M+,"Action,Shooter,Sniper,Casual,Single player,Stylized,Weapons,Gun,Assassin,Offline"
com.panzerdog.tacticool,Tacticool: 3rd person shooter,4.4star,10M+,"Action,Shooter,Tactical shooter,Multiplayer,Competitive multiplayer,Single player,Realistic,Arena,Competitive,Offline"
com.miniclip.realsniper,Pure Sniper: Gun Shooter Games,4.9star,100M+,"Action,Shooter,Sniper,Single player,Realistic,Modern,Military,Special forces,Intense,Offline"
com.zeptolab.bulletecho.google,Bullet Echo: PVP Shooter,4.2star,10M+,"Action,Shooter,Tactical shooter,Multiplayer,Competitive multiplayer,Single player,Stylized,Competitive,Science fiction"
com.squareenixmontreal.hitmansniperandroid,Hitman Sniper,4.1star,10M+,"Action,Shooter,Sniper,Casual,Single player,Stylized,Assassin,Weapons,Gun"
com.edkongames.ww2,World War 2－FPS Shooting Games,4.4star,50M+,"Action,Shooter,Tactical shooter,Multiplayer,Competitive multiplayer,Realistic,Weapons,Gun,Battling"
com.ohbibi.fps,FRAG Pro Shooter,4.2star,100M+,"Action,Shooter,Hero shooter,Multiplayer,Competitive multiplayer,Single player,Stylized,Battling,Weapons,Gun,Offline"
com.netease.h75na,Lost Light: Weapon Skin Treat,4.3star,10M+,"Action,Shooter,Tactical shooter,Multiplayer,Competitive multiplayer,Single player,Stylized,Battling,Weapons,Gun"
com.edkongames.mobs,Modern Ops - Стрелялки Шутеры,4.7star,100M+,"Action,Shooter,Tactical shooter,Multiplayer,Competitive multiplayer,Stylized,Weapons,Gun,Battling"
com.nobodyshot.POLYWAR,POLYWAR: 3D FPS online shooter,4.5star,10M+,"Action,Shooter,Tactical shooter,Multiplayer,Competitive multiplayer,Single player,Stylized,Low poly,Weapons,Gun,Intense"
com.panzerdog.tacticool,Tacticool: 3rd person shooter,4.4star,10M+,"Action,Shooter,Tactical shooter,Multiplayer,Competitive multiplayer,Single player,Realistic,Arena,Competitive,Offline"
com.sozap.badmen,Armed Heist: Shooting gun game,4.1star,10M+,"Action,Shooter,Tactical shooter,Single player,Stylized,Stylized-realistic,Intense,Modern,Crime"
com.zeptolab.bulletecho.google,Bullet Echo: PVP Shooter,4.2star,10M+,"Action,Shooter,Tactical shooter,Multiplayer,Competitive multiplayer,Single player,Stylized,Competitive,Science fiction"
com.hotheadgames.google.free.survivors,Hero Hunters - 3D Shooter wars,3.8star,10M+,"Action,Shooter,Hero shooter,Single player,Multiplayer,Stylized,Stylized-realistic,Modern,Military,Special forces,Intense"
com.netease.h75na,Lost Light: Weapon Skin Treat,4.3star,10M+,"Action,Shooter,Tactical shooter,Multiplayer,Competitive multiplayer,Single player,Stylized,Battling,Weapons,Gun"
com.blitzteam.battleprime,Battle Prime: FPS gun shooting,4.2star,10M+,"Action,Shooter,Tactical shooter,Multiplayer,Competitive multiplayer,Stylized,Weapons,Gun,Battling"
com.epicgames.fortnite,Fortnite,4.2star,10M+,"#5 top free action,Action,Shooter,Tactical shooter,Stylized,Intense"
com.Nobodyshot.kuboom,KUBOOM 3D: FPS Shooting Games,4.3star,50M+,"Action,Shooter,Tactical shooter,Multiplayer,Competitive multiplayer,Stylized,Weapons,Gun,Battling"
com.xd.t3.global,T3 Arena,4.2star,5M+,"Action,Shooter,Tactical shooter,Multiplayer,Competitive multiplayer,Stylized,Weapons,Gun,Arena"
com.madfingergames.legends,Shadowgun Legends: Online FPS,4.3star,10M+,"Action,Shooter,Tactical shooter,Single player,Multiplayer,Stylized,Stylized-realistic,Intense,Science fiction,Space"
com.gamedevltd.modernstrike,Modern Strike Online: PvP FPS,4.5star,100M+,"Action,Shooter,Tactical shooter,Multiplayer,Competitive multiplayer,Stylized,Weapons,Gun,Battling"
air.com.shdgames.sierra7.gp,SIERRA 7 - Tactical Shooter,4.2star,10M+,"Action,Shooter,Tactical shooter,Single player,Stylized,Battling,Weapons,Gun,Offline"
com.criticalforceentertainment.criticalops,Critical Ops: Multiplayer FPS,4.2star,100M+,"Action,Shooter,Tactical shooter,Multiplayer,Competitive multiplayer,Single player,Realistic,Modern,Military,Special forces,Competitive"
com.edkongames.cgsg,Contra Guns: PvP Shooting FPS,4.4star,100K+,"Weapons,Gun"
com.my.evolution2,Evolution 2: Shooting games,4.3star,10M+,"Action,Shooter,Bulletstorm,Casual,Single player,Stylized,Weapons,Gun,Battling"
com.badflyinteractive.deadeffect2,Dead Effect 2,4.1star,10M+,"Action,Shooter,Hero shooter,Single player,Stylized,Stylized-realistic,Science fiction,Space,Horror,Offline"
com.gamedevltd.destinywarfare,Infinity Ops: Cyberpunk FPS,4.4star,10M+,"Action,Shooter,Tactical shooter,Multiplayer,Competitive multiplayer,Stylized,Weapons,Gun,Battling"
com.netease.g108na,Destiny: Rising,3.2star,1M+,"Action,Shooter,Tactical shooter,Multiplayer,Competitive multiplayer,Single player,Stylized,Science fiction"
com.blayzegames.iosfps,Bullet Force,3.5star,10M+,"Action,Shooter,Tactical shooter,Multiplayer,Competitive multiplayer,Realistic,Modern,Military,Special forces,Intense"
air.com.FDGEntertainment.Lonewolf.gp,LONEWOLF (17+) A Sniper Story,4.7star,10M+,"Action,Shooter,Sniper,Casual,Single player,Stylized,Weapons,Gun,Immersive,Offline"
